Level,X,Y,height
0, 129, 16, 18
0, 130, 16, 18
0, 131, 16, 18
0, 132, 16, 18
0, 133, 16, 18
0, 134, 16, 18
0, 135, 16, 18
0, 136, 16, 18
0, 137, 16, 18
0, 138, 16, 18
0, 139, 16, 18
0, 140, 16, 18
0, 141, 16, 18
0, 142, 16, 18
0, 143, 16, 18
0, 128, 17, 18
0, 129, 17, 18
0, 130, 17, 18
0, 131, 17, 18
0, 132, 17, 18
0, 133, 17, 18
0, 134, 17, 18
0, 135, 17, 18
0, 136, 17, 18
0, 137, 17, 18
0, 138, 17, 18
0, 139, 17, 18
0, 140, 17, 18
0, 141, 17, 18
0, 142, 17, 18
0, 143, 17, 18
0, 128, 18, 18
0, 129, 18, 18
0, 130, 18, 18
0, 131, 18, 18
0, 132, 18, 18
0, 133, 18, 18
0, 134, 18, 18
0, 135, 18, 18
0, 136, 18, 18
0, 137, 18, 18
0, 138, 18, 18
0, 139, 18, 18
0, 140, 18, 18
0, 141, 18, 18
0, 142, 18, 18
0, 143, 18, 18
0, 128, 19, 18
0, 129, 19, 18
0, 130, 19, 18
0, 131, 19, 18
0, 132, 19, 18
0, 133, 19, 18
0, 134, 19, 18
0, 135, 19, 18
0, 136, 19, 18
0, 137, 19, 18
0, 138, 19, 18
0, 139, 19, 18
0, 140, 19, 18
0, 141, 19, 18
0, 142, 19, 18
0, 143, 19, 18
0, 128, 20, 18
0, 129, 20, 18
0, 130, 20, 18
0, 131, 20, 18
0, 132, 20, 18
0, 133, 20, 18
0, 134, 20, 18
0, 135, 20, 18
0, 136, 20, 18
0, 137, 20, 18
0, 138, 20, 18
0, 139, 20, 18
0, 140, 20, 18
0, 141, 20, 18
0, 142, 20, 18
0, 143, 20, 18
0, 128, 21, 18
0, 129, 21, 18
0, 130, 21, 18
0, 131, 21, 18
0, 132, 21, 18
0, 133, 21, 18
0, 134, 21, 18
0, 135, 21, 18
0, 136, 21, 18
0, 137, 21, 18
0, 138, 21, 18
0, 139, 21, 18
0, 140, 21, 18
0, 141, 21, 18
0, 142, 21, 18
0, 143, 21, 18
0, 128, 22, 18
0, 129, 22, 18
0, 130, 22, 18
0, 131, 22, 18
0, 132, 22, 18
0, 133, 22, 18
0, 134, 22, 18
0, 135, 22, 18
0, 136, 22, 18
0, 137, 22, 18
0, 138, 22, 18
0, 139, 22, 18
0, 140, 22, 18
0, 141, 22, 18
0, 142, 22, 18
0, 143, 22, 18
0, 128, 23, 18
0, 129, 23, 18
0, 130, 23, 18
0, 131, 23, 18
0, 132, 23, 18
0, 133, 23, 18
0, 134, 23, 18
0, 135, 23, 18
0, 136, 23, 18
0, 137, 23, 18
0, 138, 23, 18
0, 139, 23, 18
0, 140, 23, 18
0, 141, 23, 18
0, 142, 23, 18
0, 143, 23, 18
0, 128, 24, 18
0, 129, 24, 18
0, 130, 24, 18
0, 131, 24, 18
0, 132, 24, 18
0, 133, 24, 18
0, 134, 24, 18
0, 135, 24, 18
0, 136, 24, 18
0, 137, 24, 18
0, 138, 24, 18
0, 139, 24, 18
0, 140, 24, 18
0, 141, 24, 18
0, 142, 24, 18
0, 143, 24, 18
0, 128, 25, 18
0, 129, 25, 18
0, 130, 25, 18
0, 131, 25, 18
0, 132, 25, 18
0, 133, 25, 18
0, 134, 25, 18
0, 135, 25, 18
0, 136, 25, 18
0, 137, 25, 18
0, 138, 25, 18
0, 139, 25, 18
0, 140, 25, 18
0, 141, 25, 18
0, 142, 25, 18
0, 143, 25, 18
0, 128, 26, 18
0, 129, 26, 18
0, 130, 26, 18
0, 131, 26, 18
0, 132, 26, 18
0, 133, 26, 18
0, 134, 26, 18
0, 135, 26, 18
0, 136, 26, 18
0, 137, 26, 18
0, 138, 26, 18
0, 139, 26, 18
0, 140, 26, 18
0, 141, 26, 18
0, 142, 26, 18
0, 143, 26, 18
0, 128, 27, 18
0, 129, 27, 18
0, 130, 27, 18
0, 131, 27, 18
0, 132, 27, 18
0, 133, 27, 18
0, 134, 27, 18
0, 135, 27, 18
0, 136, 27, 18
0, 137, 27, 18
0, 138, 27, 18
0, 139, 27, 18
0, 140, 27, 18
0, 141, 27, 18
0, 142, 27, 18
0, 143, 27, 18
0, 128, 28, 18
0, 129, 28, 18
0, 130, 28, 18
0, 131, 28, 18
0, 132, 28, 18
0, 133, 28, 18
0, 134, 28, 18
0, 135, 28, 18
0, 136, 28, 18
0, 137, 28, 18
0, 138, 28, 18
0, 139, 28, 18
0, 140, 28, 18
0, 141, 28, 18
0, 142, 28, 18
0, 143, 28, 18
0, 128, 29, 18
0, 129, 29, 18
0, 130, 29, 18
0, 131, 29, 18
0, 132, 29, 18
0, 133, 29, 18
0, 134, 29, 18
0, 135, 29, 18
0, 136, 29, 18
0, 137, 29, 18
0, 138, 29, 18
0, 139, 29, 18
0, 140, 29, 18
0, 141, 29, 18
0, 142, 29, 18
0, 143, 29, 18
0, 128, 30, 18
0, 129, 30, 18
0, 130, 30, 18
0, 131, 30, 18
0, 132, 30, 18
0, 133, 30, 18
0, 134, 30, 18
0, 135, 30, 18
